session_id,user_id,timestamp,page_type,device_type,country,referral_source,time_on_page_seconds,items_in_cart,purchased,date,year,month,month_name,day,day_name,hour
session_1003,user_1216,2025-07-27 22:14:11,home,mobile,india,social media,56.0,0.0,0,2025-07-27,2025,7,July,27,Sunday,22
session_1003,user_1216,2025-07-27 22:16:56,product_page,mobile,india,social media,165.0,4.0,0,2025-07-27,2025,7,July,27,Sunday,22
session_1004,user_1154,2025-03-05 13:49:21,home,mobile,canada,social media,147.0,0.0,0,2025-03-05,2025,3,March,5,Wednesday,13
session_1005,user_1252,2025-06-27 11:42:03,home,tablet,germany,google,78.0,0.0,0,2025-06-27,2025,6,June,27,Friday,11
session_1005,user_1252,2025-06-27 11:43:33,product_page,tablet,germany,google,90.0,2.0,0,2025-06-27,2025,6,June,27,Friday,11
session_1006,user_1471,2025-01-03 08:21:05,home,mobile,usa,email,138.0,0.0,0,2025-01-03,2025,1,January,3,Friday,8
session_1007,user_1010,2025-01-20 23:48:43,home,mobile,france,social media,118.0,0.0,1,2025-01-20,2025,1,January,20,Monday,23
session_1007,user_1010,2025-01-20 23:49:13,product_page,mobile,france,social media,30.0,5.0,1,2025-01-20,2025,1,January,20,Monday,23
session_1007,user_1010,2025-01-20 23:52:05,cart,mobile,france,social media,172.0,5.0,1,2025-01-20,2025,1,January,20,Monday,23
session_1007,user_1010,2025-01-20 23:54:35,checkout,mobile,france,social media,150.0,5.0,1,2025-01-20,2025,1,January,20,Monday,23
session_1007,user_1010,2025-01-20 23:56:32,confirmation,mobile,france,social media,117.0,0.0,1,2025-01-20,2025,1,January,20,Monday,23
session_1008,user_1722,2025-02-23 05:15:15,home,tablet,canada,social media,51.0,0.0,0,2025-02-23,2025,2,February,23,Sunday,5
session_1008,user_1722,2025-02-23 05:16:59,product_page,tablet,canada,social media,104.0,4.0,0,2025-02-23,2025,2,February,23,Sunday,5
session_1009,user_1796,2025-08-16 07:49:32,home,tablet,australia,social media,59.0,0.0,0,2025-08-16,2025,8,August,16,Saturday,7
session_1009,user_1796,2025-08-16 07:50:28,product_page,tablet,australia,social media,56.0,0.0,0,2025-08-16,2025,8,August,16,Saturday,7
session_1009,user_1796,2025-08-16 07:50:49,cart,tablet,australia,social media,21.0,2.0,0,2025-08-16,2025,8,August,16,Saturday,7
session_101,user_1984,2025-04-14 06:47:08,home,mobile,france,direct,128.0,0.0,1,2025-04-14,2025,4,April,14,Monday,6
session_101,user_1984,2025-04-14 06:47:50,product_page,mobile,france,direct,42.0,0.0,1,2025-04-14,2025,4,April,14,Monday,6
session_101,user_1984,2025-04-14 06:49:32,cart,mobile,france,direct,102.0,0.0,1,2025-04-14,2025,4,April,14,Monday,6
session_101,user_1984,2025-04-14 06:51:29,checkout,mobile,france,direct,117.0,2.0,1,2025-04-14,2025,4,April,14,Monday,6
session_101,user_1984,2025-04-14 06:54:24,confirmation,mobile,france,direct,175.0,0.0,1,2025-04-14,2025,4,April,14,Monday,6
session_1010,user_2634,2025-03-29 09:27:40,home,mobile,canada,social media,122.0,0.0,0,2025-03-29,2025,3,March,29,Saturday,9
session_1010,user_2634,2025-03-29 09:29:25,product_page,mobile,canada,social media,105.0,3.0,0,2025-03-29,2025,3,March,29,Saturday,9
session_1010,user_2634,2025-03-29 09:31:33,cart,mobile,canada,social media,128.0,3.0,0,2025-03-29,2025,3,March,29,Saturday,9
session_1011,user_2682,2025-03-13 12:16:14,home,desktop,germany,direct,32.0,0.0,0,2025-03-13,2025,3,March,13,Thursday,12
session_1011,user_2682,2025-03-13 12:18:20,product_page,desktop,germany,direct,126.0,3.0,0,2025-03-13,2025,3,March,13,Thursday,12
session_1012,user_2220,2025-04-13 01:30:35,home,desktop,usa,social media,56.0,0.0,0,2025-04-13,2025,4,April,13,Sunday,1
session_1012,user_2220,2025-04-13 01:32:24,product_page,desktop,usa,social media,109.0,2.0,0,2025-04-13,2025,4,April,13,Sunday,1
session_1013,user_1989,2025-02-02 15:50:12,home,mobile,france,google,174.0,0.0,0,2025-02-02,2025,2,February,2,Sunday,15
session_1013,user_1989,2025-02-02 15:50:35,product_page,mobile,france,google,23.0,0.0,0,2025-02-02,2025,2,February,2,Sunday,15
session_1014,user_1188,2025-03-05 17:25:17,home,desktop,germany,social media,52.0,0.0,0,2025-03-05,2025,3,March,5,Wednesday,17
session_1014,user_1188,2025-03-05 17:27:39,product_page,desktop,germany,social media,142.0,5.0,0,2025-03-05,2025,3,March,5,Wednesday,17
session_1015,user_2597,2025-01-19 08:34:02,home,mobile,australia,google,111.0,0.0,1,2025-01-19,2025,1,January,19,Sunday,8
session_1015,user_2597,2025-01-19 08:34:30,product_page,mobile,australia,google,28.0,2.0,1,2025-01-19,2025,1,January,19,Sunday,8
session_1015,user_2597,2025-01-19 08:36:08,cart,mobile,australia,google,98.0,2.0,1,2025-01-19,2025,1,January,19,Sunday,8
session_1015,user_2597,2025-01-19 08:37:11,checkout,mobile,australia,google,63.0,2.0,1,2025-01-19,2025,1,January,19,Sunday,8
session_1015,user_2597,2025-01-19 08:39:23,confirmation,mobile,australia,google,132.0,0.0,1,2025-01-19,2025,1,January,19,Sunday,8
session_1016,user_2752,2025-07-09 17:47:10,home,tablet,france,direct,111.0,0.0,0,2025-07-09,2025,7,July,9,Wednesday,17
session_1016,user_2752,2025-07-09 17:49:48,product_page,tablet,france,direct,158.0,2.0,0,2025-07-09,2025,7,July,9,Wednesday,17
session_1016,user_2752,2025-07-09 17:51:18,cart,tablet,france,direct,90.0,2.0,0,2025-07-09,2025,7,July,9,Wednesday,17
session_1016,user_2752,2025-07-09 17:52:20,checkout,tablet,france,direct,62.0,2.0,0,2025-07-09,2025,7,July,9,Wednesday,17
session_1017,user_2046,2025-05-09 06:39:16,home,tablet,canada,google,141.0,0.0,0,2025-05-09,2025,5,May,9,Friday,6
session_1017,user_2046,2025-05-09 06:41:49,product_page,tablet,canada,google,153.0,0.0,0,2025-05-09,2025,5,May,9,Friday,6
session_1018,user_2475,2025-05-12 17:24:26,home,tablet,france,email,146.0,0.0,1,2025-05-12,2025,5,May,12,Monday,17
session_1018,user_2475,2025-05-12 17:27:00,product_page,tablet,france,email,154.0,4.0,1,2025-05-12,2025,5,May,12,Monday,17
session_1018,user_2475,2025-05-12 17:27:29,cart,tablet,france,email,29.0,4.0,1,2025-05-12,2025,5,May,12,Monday,17
session_1018,user_2475,2025-05-12 17:30:24,checkout,tablet,france,email,175.0,4.0,1,2025-05-12,2025,5,May,12,Monday,17
session_1018,user_2475,2025-05-12 17:31:04,confirmation,tablet,france,email,40.0,0.0,1,2025-05-12,2025,5,May,12,Monday,17
session_1019,user_2063,2025-07-07 18:47:26,home,mobile,india,social media,24.0,0.0,1,2025-07-07,2025,7,July,7,Monday,18
session_1019,user_2063,2025-07-07 18:49:14,product_page,mobile,india,social media,108.0,1.0,1,2025-07-07,2025,7,July,7,Monday,18
session_1019,user_2063,2025-07-07 18:51:16,cart,mobile,india,social media,122.0,1.0,1,2025-07-07,2025,7,July,7,Monday,18
session_1019,user_2063,2025-07-07 18:52:36,checkout,mobile,india,social media,80.0,1.0,1,2025-07-07,2025,7,July,7,Monday,18
session_1019,user_2063,2025-07-07 18:54:48,confirmation,mobile,india,social media,132.0,0.0,1,2025-07-07,2025,7,July,7,Monday,18
session_102,user_1480,2025-02-12 23:06:34,home,desktop,australia,direct,69.0,0.0,0,2025-02-12,2025,2,February,12,Wednesday,23
session_102,user_1480,2025-02-12 23:08:57,product_page,desktop,australia,direct,143.0,0.0,0,2025-02-12,2025,2,February,12,Wednesday,23
session_1020,user_1489,2025-05-14 08:16:26,home,mobile,germany,direct,73.0,0.0,0,2025-05-14,2025,5,May,14,Wednesday,8
session_1020,user_1489,2025-05-14 08:16:41,product_page,mobile,germany,direct,15.0,0.0,0,2025-05-14,2025,5,May,14,Wednesday,8
session_1021,user_1740,2025-07-12 19:48:40,home,tablet,france,direct,61.0,0.0,0,2025-07-12,2025,7,July,12,Saturday,19
session_1021,user_1740,2025-07-12 19:49:37,product_page,tablet,france,direct,57.0,1.0,0,2025-07-12,2025,7,July,12,Saturday,19
session_1022,user_1477,2025-08-24 03:45:43,home,tablet,usa,social media,145.0,0.0,1,2025-08-24,2025,8,August,24,Sunday,3
session_1022,user_1477,2025-08-24 03:46:57,product_page,tablet,usa,social media,74.0,0.0,1,2025-08-24,2025,8,August,24,Sunday,3
session_1022,user_1477,2025-08-24 03:49:42,cart,tablet,usa,social media,165.0,3.0,1,2025-08-24,2025,8,August,24,Sunday,3
session_1022,user_1477,2025-08-24 03:52:17,checkout,tablet,usa,social media,155.0,3.0,1,2025-08-24,2025,8,August,24,Sunday,3
session_1022,user_1477,2025-08-24 03:53:32,confirmation,tablet,usa,social media,75.0,0.0,1,2025-08-24,2025,8,August,24,Sunday,3
session_1023,user_2410,2025-04-29 01:28:02,home,desktop,france,social media,52.0,0.0,0,2025-04-29,2025,4,April,29,Tuesday,1
session_1023,user_2410,2025-04-29 01:29:58,product_page,desktop,france,social media,116.0,5.0,0,2025-04-29,2025,4,April,29,Tuesday,1
session_1023,user_2410,2025-04-29 01:31:17,cart,desktop,france,social media,79.0,5.0,0,2025-04-29,2025,4,April,29,Tuesday,1
session_1024,user_2179,2025-03-18 00:25:48,home,tablet,france,google,128.0,0.0,0,2025-03-18,2025,3,March,18,Tuesday,0
session_1024,user_2179,2025-03-18 00:26:54,product_page,tablet,france,google,66.0,4.0,0,2025-03-18,2025,3,March,18,Tuesday,0
session_1025,user_2874,2025-01-23 17:20:14,home,tablet,australia,direct,67.0,0.0,1,2025-01-23,2025,1,January,23,Thursday,17
session_1025,user_2874,2025-01-23 17:20:38,product_page,tablet,australia,direct,24.0,0.0,1,2025-01-23,2025,1,January,23,Thursday,17
session_1025,user_2874,2025-01-23 17:21:14,cart,tablet,australia,direct,36.0,0.0,1,2025-01-23,2025,1,January,23,Thursday,17
session_1025,user_2874,2025-01-23 17:21:50,checkout,tablet,australia,direct,36.0,1.0,1,2025-01-23,2025,1,January,23,Thursday,17
session_1025,user_2874,2025-01-23 17:23:27,confirmation,tablet,australia,direct,97.0,0.0,1,2025-01-23,2025,1,January,23,Thursday,17
session_1026,user_2997,2025-02-22 18:50:18,home,mobile,usa,social media,22.0,0.0,0,2025-02-22,2025,2,February,22,Saturday,18
session_1026,user_2997,2025-02-22 18:51:30,product_page,mobile,usa,social media,72.0,0.0,0,2025-02-22,2025,2,February,22,Saturday,18
session_1027,user_1571,2025-04-30 22:36:42,home,mobile,france,google,121.0,0.0,1,2025-04-30,2025,4,April,30,Wednesday,22
session_1027,user_1571,2025-04-30 22:39:28,product_page,mobile,france,google,166.0,3.0,1,2025-04-30,2025,4,April,30,Wednesday,22
session_1027,user_1571,2025-04-30 22:41:07,cart,mobile,france,google,99.0,3.0,1,2025-04-30,2025,4,April,30,Wednesday,22
session_1027,user_1571,2025-04-30 22:43:51,checkout,mobile,france,google,164.0,3.0,1,2025-04-30,2025,4,April,30,Wednesday,22
session_1027,user_1571,2025-04-30 22:45:24,confirmation,mobile,france,google,93.0,0.0,1,2025-04-30,2025,4,April,30,Wednesday,22
session_1028,user_1178,2025-07-24 11:14:46,home,tablet,australia,google,140.0,0.0,1,2025-07-24,2025,7,July,24,Thursday,11
session_1028,user_1178,2025-07-24 11:15:48,product_page,tablet,australia,google,62.0,5.0,1,2025-07-24,2025,7,July,24,Thursday,11
session_1028,user_1178,2025-07-24 11:18:13,cart,tablet,australia,google,145.0,5.0,1,2025-07-24,2025,7,July,24,Thursday,11
session_1028,user_1178,2025-07-24 11:19:32,checkout,tablet,australia,google,79.0,5.0,1,2025-07-24,2025,7,July,24,Thursday,11
session_1028,user_1178,2025-07-24 11:21:20,confirmation,tablet,australia,google,108.0,0.0,1,2025-07-24,2025,7,July,24,Thursday,11
session_1029,user_1181,2025-06-03 23:29:35,home,desktop,france,google,168.0,0.0,0,2025-06-03,2025,6,June,3,Tuesday,23
session_1029,user_1181,2025-06-03 23:31:40,product_page,desktop,france,google,125.0,0.0,0,2025-06-03,2025,6,June,3,Tuesday,23
session_103,user_2791,2025-01-10 20:14:17,home,desktop,france,social media,90.0,0.0,0,2025-01-10,2025,1,January,10,Friday,20
session_103,user_2791,2025-01-10 20:15:15,product_page,desktop,france,social media,58.0,3.0,0,2025-01-10,2025,1,January,10,Friday,20
session_1030,user_2600,2025-04-20 23:26:41,home,desktop,uk,direct,15.0,0.0,0,2025-04-20,2025,4,April,20,Sunday,23
session_1030,user_2600,2025-04-20 23:29:34,product_page,desktop,uk,direct,173.0,0.0,0,2025-04-20,2025,4,April,20,Sunday,23
session_1031,user_2932,2025-08-14 07:16:44,home,mobile,usa,direct,65.0,0.0,1,2025-08-14,2025,8,August,14,Thursday,7
session_1031,user_2932,2025-08-14 07:18:51,product_page,mobile,usa,direct,127.0,3.0,1,2025-08-14,2025,8,August,14,Thursday,7
session_1031,user_2932,2025-08-14 07:19:43,cart,mobile,usa,direct,52.0,3.0,1,2025-08-14,2025,8,August,14,Thursday,7
session_1031,user_2932,2025-08-14 07:20:26,checkout,mobile,usa,direct,43.0,3.0,1,2025-08-14,2025,8,August,14,Thursday,7
session_1031,user_2932,2025-08-14 07:22:38,confirmation,mobile,usa,direct,132.0,0.0,1,2025-08-14,2025,8,August,14,Thursday,7
session_1032,user_1447,2025-08-06 12:57:39,home,mobile,india,email,135.0,0.0,1,2025-08-06,2025,8,August,6,Wednesday,12
session_1032,user_1447,2025-08-06 12:58:19,product_page,mobile,india,email,40.0,0.0,1,2025-08-06,2025,8,August,6,Wednesday,12
session_1032,user_1447,2025-08-06 13:00:54,cart,mobile,india,email,155.0,0.0,1,2025-08-06,2025,8,August,6,Wednesday,13
session_1032,user_1447,2025-08-06 13:02:13,checkout,mobile,india,email,79.0,1.0,1,2025-08-06,2025,8,August,6,Wednesday,13
session_1032,user_1447,2025-08-06 13:05:07,confirmation,mobile,india,email,174.0,0.0,1,2025-08-06,2025,8,August,6,Wednesday,13
session_1033,user_2912,2025-04-13 11:48:04,home,desktop,india,direct,98.0,0.0,1,2025-04-13,2025,4,April,13,Sunday,11
session_1033,user_2912,2025-04-13 11:49:47,product_page,desktop,india,direct,103.0,0.0,1,2025-04-13,2025,4,April,13,Sunday,11
session_1033,user_2912,2025-04-13 11:51:19,cart,desktop,india,direct,92.0,0.0,1,2025-04-13,2025,4,April,13,Sunday,11
session_1033,user_2912,2025-04-13 11:51:59,checkout,desktop,india,direct,40.0,1.0,1,2025-04-13,2025,4,April,13,Sunday,11
session_1033,user_2912,2025-04-13 11:54:33,confirmation,desktop,india,direct,154.0,0.0,1,2025-04-13,2025,4,April,13,Sunday,11
session_1034,user_1258,2025-01-28 20:52:53,home,desktop,canada,email,151.0,0.0,0,2025-01-28,2025,1,January,28,Tuesday,20
session_1034,user_1258,2025-01-28 20:54:18,product_page,desktop,canada,email,85.0,0.0,0,2025-01-28,2025,1,January,28,Tuesday,20
session_1035,user_1548,2025-01-01 12:08:37,home,tablet,australia,google,90.0,0.0,0,2025-01-01,2025,1,January,1,Wednesday,12
session_1035,user_1548,2025-01-01 12:11:26,product_page,tablet,australia,google,169.0,2.0,0,2025-01-01,2025,1,January,1,Wednesday,12
session_1036,user_2985,2025-02-17 00:12:00,home,tablet,france,social media,21.0,0.0,0,2025-02-17,2025,2,February,17,Monday,0
session_1036,user_2985,2025-02-17 00:12:53,product_page,tablet,france,social media,53.0,0.0,0,2025-02-17,2025,2,February,17,Monday,0
session_1037,user_2861,2025-07-07 08:26:59,home,mobile,germany,email,62.0,0.0,0,2025-07-07,2025,7,July,7,Monday,8
session_1037,user_2861,2025-07-07 08:29:47,product_page,mobile,germany,email,168.0,0.0,0,2025-07-07,2025,7,July,7,Monday,8
session_1038,user_1806,2025-04-03 11:06:09,home,mobile,india,social media,128.0,0.0,1,2025-04-03,2025,4,April,3,Thursday,11
session_1038,user_1806,2025-04-03 11:06:39,product_page,mobile,india,social media,30.0,0.0,1,2025-04-03,2025,4,April,3,Thursday,11
session_1038,user_1806,2025-04-03 11:09:30,cart,mobile,india,social media,171.0,4.0,1,2025-04-03,2025,4,April,3,Thursday,11
session_1038,user_1806,2025-04-03 11:11:05,checkout,mobile,india,social media,95.0,4.0,1,2025-04-03,2025,4,April,3,Thursday,11
session_1038,user_1806,2025-04-03 11:12:46,confirmation,mobile,india,social media,101.0,0.0,1,2025-04-03,2025,4,April,3,Thursday,11
session_1039,user_1161,2025-03-06 23:22:43,home,desktop,germany,social media,180.0,0.0,0,2025-03-06,2025,3,March,6,Thursday,23
session_1039,user_1161,2025-03-06 23:24:30,product_page,desktop,germany,social media,107.0,2.0,0,2025-03-06,2025,3,March,6,Thursday,23
session_1039,user_1161,2025-03-06 23:25:03,cart,desktop,germany,social media,33.0,2.0,0,2025-03-06,2025,3,March,6,Thursday,23
session_104,user_2754,2025-07-22 13:46:16,home,tablet,uk,social media,15.0,0.0,0,2025-07-22,2025,7,July,22,Tuesday,13
session_104,user_2754,2025-07-22 13:46:55,product_page,tablet,uk,social media,39.0,4.0,0,2025-07-22,2025,7,July,22,Tuesday,13
session_1040,user_2629,2025-04-19 16:51:08,home,mobile,usa,email,70.0,0.0,1,2025-04-19,2025,4,April,19,Saturday,16
session_1040,user_2629,2025-04-19 16:53:59,product_page,mobile,usa,email,171.0,4.0,1,2025-04-19,2025,4,April,19,Saturday,16
session_1040,user_2629,2025-04-19 16:55:33,cart,mobile,usa,email,94.0,4.0,1,2025-04-19,2025,4,April,19,Saturday,16
session_1040,user_2629,2025-04-19 16:56:53,checkout,mobile,usa,email,80.0,4.0,1,2025-04-19,2025,4,April,19,Saturday,16
session_1040,user_2629,2025-04-19 16:59:08,confirmation,mobile,usa,email,135.0,0.0,1,2025-04-19,2025,4,April,19,Saturday,16
session_1041,user_1746,2025-05-06 23:36:39,home,mobile,usa,email,43.0,0.0,0,2025-05-06,2025,5,May,6,Tuesday,23
session_1041,user_1746,2025-05-06 23:38:45,product_page,mobile,usa,email,126.0,0.0,0,2025-05-06,2025,5,May,6,Tuesday,23
session_1041,user_1746,2025-05-06 23:39:40,cart,mobile,usa,email,55.0,2.0,0,2025-05-06,2025,5,May,6,Tuesday,23
session_1042,user_1867,2025-03-01 04:50:01,home,tablet,australia,social media,48.0,0.0,0,2025-03-01,2025,3,March,1,Saturday,4
session_1043,user_1466,2025-08-22 06:25:08,home,tablet,canada,email,127.0,0.0,0,2025-08-22,2025,8,August,22,Friday,6
session_1044,user_2118,2025-07-29 02:14:11,home,tablet,uk,direct,173.0,0.0,0,2025-07-29,2025,7,July,29,Tuesday,2
session_1044,user_2118,2025-07-29 02:14:58,product_page,tablet,uk,direct,47.0,4.0,0,2025-07-29,2025,7,July,29,Tuesday,2
session_1045,user_2691,2025-08-16 12:12:29,home,mobile,usa,direct,79.0,0.0,1,2025-08-16,2025,8,August,16,Saturday,12
session_1045,user_2691,2025-08-16 12:15:08,product_page,mobile,usa,direct,159.0,0.0,1,2025-08-16,2025,8,August,16,Saturday,12
session_1045,user_2691,2025-08-16 12:17:43,cart,mobile,usa,direct,155.0,0.0,1,2025-08-16,2025,8,August,16,Saturday,12
session_1045,user_2691,2025-08-16 12:18:52,checkout,mobile,usa,direct,69.0,2.0,1,2025-08-16,2025,8,August,16,Saturday,12
session_1045,user_2691,2025-08-16 12:21:41,confirmation,mobile,usa,direct,169.0,0.0,1,2025-08-16,2025,8,August,16,Saturday,12
session_1046,user_1525,2025-05-30 02:48:38,home,mobile,usa,email,94.0,0.0,0,2025-05-30,2025,5,May,30,Friday,2
session_1046,user_1525,2025-05-30 02:49:49,product_page,mobile,usa,email,71.0,0.0,0,2025-05-30,2025,5,May,30,Friday,2
session_1047,user_1438,2025-01-25 23:31:55,home,mobile,france,email,105.0,0.0,0,2025-01-25,2025,1,January,25,Saturday,23
session_1047,user_1438,2025-01-25 23:34:21,product_page,mobile,france,email,146.0,3.0,0,2025-01-25,2025,1,January,25,Saturday,23
session_1048,user_1331,2025-04-09 16:49:27,home,desktop,canada,direct,83.0,0.0,0,2025-04-09,2025,4,April,9,Wednesday,16
session_1048,user_1331,2025-04-09 16:50:03,product_page,desktop,canada,direct,36.0,0.0,0,2025-04-09,2025,4,April,9,Wednesday,16
session_1049,user_1240,2025-05-18 08:57:16,home,desktop,usa,google,117.0,0.0,1,2025-05-18,2025,5,May,18,Sunday,8
session_1049,user_1240,2025-05-18 08:58:25,product_page,desktop,usa,google,69.0,0.0,1,2025-05-18,2025,5,May,18,Sunday,8
session_1049,user_1240,2025-05-18 08:58:53,cart,desktop,usa,google,28.0,0.0,1,2025-05-18,2025,5,May,18,Sunday,8
session_1049,user_1240,2025-05-18 09:00:35,checkout,desktop,usa,google,102.0,2.0,1,2025-05-18,2025,5,May,18,Sunday,9
session_1049,user_1240,2025-05-18 09:02:19,confirmation,desktop,usa,google,104.0,0.0,1,2025-05-18,2025,5,May,18,Sunday,9
session_105,user_2525,2025-02-28 20:54:48,home,mobile,canada,social media,66.0,0.0,0,2025-02-28,2025,2,February,28,Friday,20
session_105,user_2525,2025-02-28 20:57:01,product_page,mobile,canada,social media,133.0,2.0,0,2025-02-28,2025,2,February,28,Friday,20
session_1050,user_2475,2025-04-17 04:11:10,home,tablet,india,direct,128.0,0.0,0,2025-04-17,2025,4,April,17,Thursday,4
session_1050,user_2475,2025-04-17 04:12:00,product_page,tablet,india,direct,50.0,2.0,0,2025-04-17,2025,4,April,17,Thursday,4
session_1051,user_1382,2025-05-17 11:05:23,home,mobile,uk,direct,26.0,0.0,1,2025-05-17,2025,5,May,17,Saturday,11
session_1051,user_1382,2025-05-17 11:06:41,product_page,mobile,uk,direct,78.0,0.0,1,2025-05-17,2025,5,May,17,Saturday,11
session_1051,user_1382,2025-05-17 11:07:37,cart,mobile,uk,direct,56.0,0.0,1,2025-05-17,2025,5,May,17,Saturday,11
session_1051,user_1382,2025-05-17 11:07:54,checkout,mobile,uk,direct,17.0,1.0,1,2025-05-17,2025,5,May,17,Saturday,11
session_1051,user_1382,2025-05-17 11:10:47,confirmation,mobile,uk,direct,173.0,0.0,1,2025-05-17,2025,5,May,17,Saturday,11
session_1052,user_1710,2025-05-21 08:01:00,home,mobile,australia,email,56.0,0.0,0,2025-05-21,2025,5,May,21,Wednesday,8
session_1052,user_1710,2025-05-21 08:03:51,product_page,mobile,australia,email,171.0,0.0,0,2025-05-21,2025,5,May,21,Wednesday,8
session_1052,user_1710,2025-05-21 08:06:45,cart,mobile,australia,email,174.0,0.0,0,2025-05-21,2025,5,May,21,Wednesday,8
session_1052,user_1710,2025-05-21 08:07:02,checkout,mobile,australia,email,17.0,2.0,0,2025-05-21,2025,5,May,21,Wednesday,8
session_1053,user_1443,2025-05-08 04:39:31,home,desktop,france,google,85.0,0.0,0,2025-05-08,2025,5,May,8,Thursday,4
session_1053,user_1443,2025-05-08 04:41:57,product_page,desktop,france,google,146.0,2.0,0,2025-05-08,2025,5,May,8,Thursday,4
session_1053,user_1443,2025-05-08 04:43:38,cart,desktop,france,google,101.0,2.0,0,2025-05-08,2025,5,May,8,Thursday,4
session_1054,user_2837,2025-04-11 17:57:23,home,desktop,canada,email,113.0,0.0,1,2025-04-11,2025,4,April,11,Friday,17
session_1054,user_2837,2025-04-11 17:57:56,product_page,desktop,canada,email,33.0,0.0,1,2025-04-11,2025,4,April,11,Friday,17
session_1054,user_2837,2025-04-11 17:59:33,cart,desktop,canada,email,97.0,0.0,1,2025-04-11,2025,4,April,11,Friday,17
session_1054,user_2837,2025-04-11 18:00:51,checkout,desktop,canada,email,78.0,3.0,1,2025-04-11,2025,4,April,11,Friday,18
session_1054,user_2837,2025-04-11 18:02:52,confirmation,desktop,canada,email,121.0,0.0,1,2025-04-11,2025,4,April,11,Friday,18
session_1055,user_1506,2025-01-01 05:00:01,home,tablet,usa,google,55.0,0.0,0,2025-01-01,2025,1,January,1,Wednesday,5
session_1055,user_1506,2025-01-01 05:02:10,product_page,tablet,usa,google,129.0,1.0,0,2025-01-01,2025,1,January,1,Wednesday,5
session_1056,user_1488,2025-05-08 20:30:16,home,mobile,india,direct,155.0,0.0,0,2025-05-08,2025,5,May,8,Thursday,20
session_1056,user_1488,2025-05-08 20:31:05,product_page,mobile,india,direct,49.0,1.0,0,2025-05-08,2025,5,May,8,Thursday,20
session_1057,user_2951,2025-07-10 11:59:40,home,mobile,uk,direct,105.0,0.0,0,2025-07-10,2025,7,July,10,Thursday,11
session_1057,user_2951,2025-07-10 12:02:11,product_page,mobile,uk,direct,151.0,0.0,0,2025-07-10,2025,7,July,10,Thursday,12
session_1058,user_1272,2025-01-04 09:16:20,home,tablet,uk,social media,48.0,0.0,0,2025-01-04,2025,1,January,4,Saturday,9
session_1058,user_1272,2025-01-04 09:18:53,product_page,tablet,uk,social media,153.0,3.0,0,2025-01-04,2025,1,January,4,Saturday,9
