session_id,user_id,session_start,session_end,total_pages_visited,total_time_spent_seconds,max_items_in_cart,purchased,device_type,country,referral_source,session_duration_minutes
session_1022,user_1477,2025-08-24 03:45:43,2025-08-24 03:53:32,5,614.0,3.0,1,tablet,usa,social media,7.816666666666666
session_1023,user_2410,2025-04-29 01:28:02,2025-04-29 01:31:17,3,247.0,5.0,0,desktop,france,social media,3.25
session_1024,user_2179,2025-03-18 00:25:48,2025-03-18 00:26:54,2,194.0,4.0,0,tablet,france,google,1.1
session_1025,user_2874,2025-01-23 17:20:14,2025-01-23 17:23:27,5,260.0,1.0,1,tablet,australia,direct,3.216666666666667
session_1026,user_2997,2025-02-22 18:50:18,2025-02-22 18:51:30,2,94.0,0.0,0,mobile,usa,social media,1.2
session_1027,user_1571,2025-04-30 22:36:42,2025-04-30 22:45:24,5,643.0,3.0,1,mobile,france,google,8.7
session_1028,user_1178,2025-07-24 11:14:46,2025-07-24 11:21:20,5,534.0,5.0,1,tablet,australia,google,6.566666666666666
session_1029,user_1181,2025-06-03 23:29:35,2025-06-03 23:31:40,2,293.0,0.0,0,desktop,france,google,2.0833333333333335
session_103,user_2791,2025-01-10 20:14:17,2025-01-10 20:15:15,2,148.0,3.0,0,desktop,france,social media,0.9666666666666667
session_1030,user_2600,2025-04-20 23:26:41,2025-04-20 23:29:34,2,188.0,0.0,0,desktop,uk,direct,2.8833333333333333
session_1031,user_2932,2025-08-14 07:16:44,2025-08-14 07:22:38,5,419.0,3.0,1,mobile,usa,direct,5.9
session_1032,user_1447,2025-08-06 12:57:39,2025-08-06 13:05:07,5,583.0,1.0,1,mobile,india,email,7.466666666666667
session_1033,user_2912,2025-04-13 11:48:04,2025-04-13 11:54:33,5,487.0,1.0,1,desktop,india,direct,6.483333333333333
session_1034,user_1258,2025-01-28 20:52:53,2025-01-28 20:54:18,2,236.0,0.0,0,desktop,canada,email,1.4166666666666667
session_1035,user_1548,2025-01-01 12:08:37,2025-01-01 12:11:26,2,259.0,2.0,0,tablet,australia,google,2.816666666666667
session_1036,user_2985,2025-02-17 00:12:00,2025-02-17 00:12:53,2,74.0,0.0,0,tablet,france,social media,0.8833333333333333
session_1037,user_2861,2025-07-07 08:26:59,2025-07-07 08:29:47,2,230.0,0.0,0,mobile,germany,email,2.8
session_1038,user_1806,2025-04-03 11:06:09,2025-04-03 11:12:46,5,525.0,4.0,1,mobile,india,social media,6.616666666666666
session_1039,user_1161,2025-03-06 23:22:43,2025-03-06 23:25:03,3,320.0,2.0,0,desktop,germany,social media,2.3333333333333335
session_104,user_2754,2025-07-22 13:46:16,2025-07-22 13:46:55,2,54.0,4.0,0,tablet,uk,social media,0.65
session_1040,user_2629,2025-04-19 16:51:08,2025-04-19 16:59:08,5,550.0,4.0,1,mobile,usa,email,8.0
session_1041,user_1746,2025-05-06 23:36:39,2025-05-06 23:39:40,3,224.0,2.0,0,mobile,usa,email,3.0166666666666666
session_1042,user_1867,2025-03-01 04:50:01,2025-03-01 04:50:01,1,48.0,0.0,0,tablet,australia,social media,0.0
session_1043,user_1466,2025-08-22 06:25:08,2025-08-22 06:25:08,1,127.0,0.0,0,tablet,canada,email,0.0
session_1044,user_2118,2025-07-29 02:14:11,2025-07-29 02:14:58,2,220.0,4.0,0,tablet,uk,direct,0.7833333333333333
session_1045,user_2691,2025-08-16 12:12:29,2025-08-16 12:21:41,5,631.0,2.0,1,mobile,usa,direct,9.2
session_1046,user_1525,2025-05-30 02:48:38,2025-05-30 02:49:49,2,165.0,0.0,0,mobile,usa,email,1.1833333333333333
session_1047,user_1438,2025-01-25 23:31:55,2025-01-25 23:34:21,2,251.0,3.0,0,mobile,france,email,2.433333333333333
session_1048,user_1331,2025-04-09 16:49:27,2025-04-09 16:50:03,2,119.0,0.0,0,desktop,canada,direct,0.6
session_1049,user_1240,2025-05-18 08:57:16,2025-05-18 09:02:19,5,420.0,2.0,1,desktop,usa,google,5.05
session_105,user_2525,2025-02-28 20:54:48,2025-02-28 20:57:01,2,199.0,2.0,0,mobile,canada,social media,2.216666666666667
session_1050,user_2475,2025-04-17 04:11:10,2025-04-17 04:12:00,2,178.0,2.0,0,tablet,india,direct,0.8333333333333334
session_1051,user_1382,2025-05-17 11:05:23,2025-05-17 11:10:47,5,350.0,1.0,1,mobile,uk,direct,5.4
session_1052,user_1710,2025-05-21 08:01:00,2025-05-21 08:07:02,4,418.0,2.0,0,mobile,australia,email,6.033333333333333
session_1053,user_1443,2025-05-08 04:39:31,2025-05-08 04:43:38,3,332.0,2.0,0,desktop,france,google,4.116666666666666
session_1054,user_2837,2025-04-11 17:57:23,2025-04-11 18:02:52,5,442.0,3.0,1,desktop,canada,email,5.483333333333333
session_1055,user_1506,2025-01-01 05:00:01,2025-01-01 05:02:10,2,184.0,1.0,0,tablet,usa,google,2.15
session_1056,user_1488,2025-05-08 20:30:16,2025-05-08 20:31:05,2,204.0,1.0,0,mobile,india,direct,0.8166666666666667
session_1057,user_2951,2025-07-10 11:59:40,2025-07-10 12:02:11,2,256.0,0.0,0,mobile,uk,direct,2.5166666666666666
session_1058,user_1272,2025-01-04 09:16:20,2025-01-04 09:18:53,2,201.0,3.0,0,tablet,uk,social media,2.55
session_1059,user_1381,2025-03-17 12:12:56,2025-03-17 12:15:29,2,326.0,0.0,0,mobile,canada,google,2.55
session_106,user_1524,2025-01-26 20:08:51,2025-01-26 20:09:57,2,205.0,1.0,0,desktop,uk,google,1.1
session_1060,user_1617,2025-02-11 03:56:07,2025-02-11 03:58:28,2,278.0,0.0,0,tablet,usa,direct,2.35
session_1061,user_1328,2025-05-27 16:29:20,2025-05-27 16:34:41,5,342.0,3.0,1,mobile,usa,social media,5.35
session_1062,user_2713,2025-01-06 04:50:38,2025-01-06 04:54:41,5,332.0,3.0,1,mobile,france,google,4.05
session_1063,user_1114,2025-07-04 20:08:16,2025-07-04 20:09:47,2,269.0,2.0,0,mobile,germany,social media,1.5166666666666666
session_1064,user_2115,2025-08-13 14:48:20,2025-08-13 14:48:49,2,113.0,2.0,0,desktop,usa,email,0.48333333333333334
session_1065,user_2718,2025-03-24 07:15:53,2025-03-24 07:15:53,1,43.0,0.0,0,tablet,france,google,0.0
session_1066,user_2347,2025-01-28 20:20:57,2025-01-28 20:22:57,2,289.0,0.0,0,tablet,australia,google,2.0
session_1067,user_1459,2025-02-04 21:52:32,2025-02-04 21:52:32,1,79.0,0.0,0,mobile,australia,google,0.0
session_1068,user_2032,2025-08-24 18:18:04,2025-08-24 18:18:40,2,70.0,2.0,0,tablet,germany,direct,0.6
session_1069,user_2948,2025-07-23 03:18:17,2025-07-23 03:19:43,2,177.0,1.0,0,tablet,germany,direct,1.4333333333333333
session_107,user_2173,2025-01-02 05:30:07,2025-01-02 05:30:37,2,45.0,0.0,0,mobile,uk,email,0.5
session_1070,user_1569,2025-04-30 14:49:17,2025-04-30 14:53:02,3,381.0,1.0,0,tablet,india,social media,3.75
session_1071,user_2602,2025-02-27 03:03:27,2025-02-27 03:05:56,2,207.0,4.0,0,desktop,germany,social media,2.4833333333333334
session_1072,user_1364,2025-07-23 17:27:43,2025-07-23 17:29:21,2,237.0,0.0,0,mobile,usa,google,1.6333333333333333
session_1073,user_2463,2025-01-07 04:40:36,2025-01-07 04:47:24,5,451.0,5.0,1,mobile,uk,google,6.8
session_1074,user_2249,2025-07-26 17:28:22,2025-07-26 17:34:05,5,467.0,3.0,1,desktop,france,direct,5.716666666666667
session_1075,user_1013,2025-02-13 01:15:13,2025-02-13 01:18:13,2,237.0,4.0,0,desktop,australia,google,3.0
session_1076,user_2114,2025-02-06 13:39:51,2025-02-06 13:42:16,2,175.0,0.0,0,desktop,uk,google,2.4166666666666665
session_1077,user_2086,2025-08-27 15:06:44,2025-08-27 15:06:44,1,75.0,0.0,0,desktop,australia,google,0.0
session_1078,user_2831,2025-07-12 15:30:28,2025-07-12 15:30:28,1,20.0,0.0,0,desktop,germany,email,0.0
session_1079,user_1802,2025-07-14 03:19:39,2025-07-14 03:19:55,2,178.0,0.0,0,mobile,uk,direct,0.26666666666666666
session_108,user_2167,2025-02-21 13:57:38,2025-02-21 13:58:28,2,97.0,5.0,0,mobile,canada,email,0.8333333333333334
session_1080,user_2805,2025-05-31 00:16:02,2025-05-31 00:18:30,3,278.0,5.0,0,tablet,germany,social media,2.466666666666667
session_1081,user_2776,2025-04-21 03:29:55,2025-04-21 03:29:55,1,67.0,0.0,0,tablet,uk,google,0.0
session_1082,user_1058,2025-03-31 03:00:13,2025-03-31 03:00:13,1,138.0,0.0,0,mobile,germany,google,0.0
session_1083,user_1410,2025-04-07 18:13:46,2025-04-07 18:15:42,2,237.0,0.0,0,tablet,usa,direct,1.9333333333333333
session_1084,user_2396,2025-05-31 04:01:09,2025-05-31 04:01:09,1,51.0,0.0,0,desktop,australia,email,0.0
session_1085,user_1894,2025-01-11 04:27:52,2025-01-11 04:31:56,3,415.0,2.0,0,mobile,uk,direct,4.066666666666666
session_1086,user_1227,2025-04-14 15:24:24,2025-04-14 15:24:24,1,35.0,0.0,0,mobile,india,social media,0.0
session_1087,user_2824,2025-04-30 11:18:19,2025-04-30 11:19:17,2,77.0,1.0,0,mobile,france,email,0.9666666666666667
session_1088,user_1902,2025-04-25 07:22:41,2025-04-25 07:31:08,5,585.0,5.0,1,desktop,uk,google,8.45
session_1089,user_1004,2025-02-03 08:57:13,2025-02-03 08:57:13,1,98.0,0.0,0,tablet,germany,google,0.0
session_109,user_1774,2025-07-30 14:11:29,2025-07-30 14:17:56,5,536.0,2.0,1,mobile,canada,google,6.45
session_1090,user_2322,2025-02-07 02:36:06,2025-02-07 02:37:04,2,206.0,3.0,0,mobile,australia,google,0.9666666666666667
session_1091,user_2296,2025-05-24 22:17:17,2025-05-24 22:18:18,2,219.0,4.0,0,desktop,canada,email,1.0166666666666666
session_1092,user_1786,2025-08-26 00:54:50,2025-08-26 00:57:46,2,319.0,2.0,0,desktop,germany,email,2.933333333333333
session_1093,user_1006,2025-05-10 11:35:13,2025-05-10 11:37:41,2,248.0,4.0,0,desktop,usa,direct,2.466666666666667
session_1094,user_2289,2025-05-26 22:54:50,2025-05-26 22:54:50,1,118.0,0.0,0,mobile,germany,google,0.0
session_1095,user_1541,2025-03-08 08:19:55,2025-03-08 08:20:59,2,81.0,0.0,0,tablet,usa,direct,1.0666666666666667
session_1096,user_2861,2025-02-16 11:03:21,2025-02-16 11:05:24,2,225.0,1.0,0,tablet,france,email,2.05
session_1097,user_1261,2025-05-24 10:50:25,2025-05-24 10:50:25,1,117.0,0.0,0,mobile,india,direct,0.0
session_1098,user_1905,2025-06-08 04:07:21,2025-06-08 04:08:20,2,102.0,0.0,0,tablet,usa,google,0.9833333333333333
session_1099,user_1113,2025-08-04 21:20:58,2025-08-04 21:20:58,1,126.0,0.0,0,desktop,australia,direct,0.0
session_11,user_2760,2025-06-11 20:27:05,2025-06-11 20:30:19,3,248.0,4.0,0,tablet,usa,direct,3.2333333333333334
session_110,user_2713,2025-01-30 08:29:05,2025-01-30 08:34:15,5,345.0,3.0,1,tablet,canada,direct,5.166666666666667
session_1100,user_2939,2025-07-29 13:25:47,2025-07-29 13:33:32,5,480.0,5.0,1,mobile,germany,social media,7.75
session_1101,user_1514,2025-08-13 21:20:28,2025-08-13 21:20:28,1,167.0,0.0,0,tablet,canada,google,0.0
session_1102,user_2941,2025-06-04 20:23:48,2025-06-04 20:23:48,1,95.0,0.0,0,tablet,france,email,0.0
session_1103,user_1864,2025-03-26 15:15:04,2025-03-26 15:15:04,1,89.0,0.0,0,desktop,india,social media,0.0
session_1104,user_2189,2025-05-12 16:50:58,2025-05-12 16:51:48,2,146.0,0.0,0,desktop,india,google,0.8333333333333334
session_1105,user_1594,2025-02-12 07:45:46,2025-02-12 07:46:10,2,39.0,1.0,0,mobile,uk,google,0.4
session_1106,user_2314,2025-08-23 07:47:50,2025-08-23 07:49:15,2,195.0,0.0,0,desktop,india,google,1.4166666666666667
session_1107,user_1643,2025-07-22 15:28:06,2025-07-22 15:30:20,2,257.0,2.0,0,desktop,france,direct,2.2333333333333334
session_1108,user_2048,2025-05-17 04:56:50,2025-05-17 05:01:48,5,341.0,1.0,1,mobile,france,direct,4.966666666666667
session_1109,user_1775,2025-07-31 16:07:04,2025-07-31 16:09:51,2,185.0,0.0,0,tablet,india,google,2.783333333333333
session_111,user_2430,2025-08-27 10:04:00,2025-08-27 10:05:11,2,116.0,0.0,0,desktop,germany,email,1.1833333333333333
session_1110,user_1534,2025-01-17 20:28:51,2025-01-17 20:32:58,5,317.0,1.0,1,mobile,usa,social media,4.116666666666666
session_1111,user_2964,2025-04-05 07:22:15,2025-04-05 07:29:35,5,556.0,2.0,1,desktop,germany,email,7.333333333333333
session_1112,user_1323,2025-08-19 03:29:33,2025-08-19 03:36:04,5,559.0,2.0,1,desktop,france,direct,6.516666666666667
session_1113,user_1495,2025-07-08 12:44:08,2025-07-08 12:44:08,1,132.0,0.0,0,tablet,india,google,0.0
session_1114,user_1515,2025-06-24 13:11:38,2025-06-24 13:14:22,2,340.0,2.0,0,desktop,uk,google,2.7333333333333334
session_1115,user_1926,2025-08-10 10:08:13,2025-08-10 10:18:07,5,651.0,3.0,1,tablet,australia,google,9.9
session_1116,user_2121,2025-07-22 08:03:08,2025-07-22 08:08:16,5,390.0,3.0,1,desktop,canada,email,5.133333333333334
session_1117,user_1834,2025-05-14 17:11:31,2025-05-14 17:18:46,5,565.0,2.0,1,tablet,usa,google,7.25
session_1118,user_1295,2025-04-27 09:22:43,2025-04-27 09:30:43,5,651.0,2.0,1,mobile,france,direct,8.0
session_1119,user_2694,2025-03-16 05:41:47,2025-03-16 05:46:50,4,381.0,5.0,0,desktop,usa,email,5.05
session_112,user_2488,2025-06-22 06:14:23,2025-06-22 06:15:35,2,201.0,3.0,0,tablet,canada,social media,1.2
session_1120,user_2661,2025-08-11 13:34:39,2025-08-11 13:36:39,2,194.0,0.0,0,mobile,uk,email,2.0
session_1121,user_2862,2025-01-03 17:49:27,2025-01-03 17:52:35,3,314.0,0.0,0,mobile,germany,social media,3.1333333333333333
session_1122,user_1188,2025-02-02 19:04:01,2025-02-02 19:06:20,2,221.0,0.0,0,mobile,germany,direct,2.316666666666667
session_1123,user_2354,2025-06-03 17:05:22,2025-06-03 17:06:18,2,96.0,5.0,0,mobile,france,google,0.9333333333333333
session_1124,user_2092,2025-03-26 01:55:11,2025-03-26 01:56:48,2,135.0,1.0,0,desktop,usa,social media,1.6166666666666667
session_1125,user_1200,2025-05-21 19:51:45,2025-05-21 20:01:07,5,638.0,2.0,1,desktop,india,direct,9.366666666666667
session_1126,user_1317,2025-04-23 12:45:30,2025-04-23 12:45:30,1,81.0,0.0,0,mobile,canada,direct,0.0
session_1127,user_1734,2025-06-25 23:52:10,2025-06-25 23:52:10,1,104.0,0.0,0,desktop,france,google,0.0
session_1128,user_2038,2025-06-20 23:56:18,2025-06-21 00:01:57,5,435.0,2.0,1,mobile,canada,direct,5.65
session_1129,user_1332,2025-08-03 12:11:21,2025-08-03 12:15:26,3,358.0,5.0,0,mobile,france,google,4.083333333333333
session_113,user_1030,2025-01-24 01:46:09,2025-01-24 01:48:10,2,142.0,4.0,0,tablet,uk,email,2.0166666666666666
session_1130,user_1785,2025-01-29 11:20:30,2025-01-29 11:28:16,5,616.0,1.0,1,mobile,india,email,7.766666666666667
session_1131,user_2995,2025-01-10 03:41:06,2025-01-10 03:42:18,2,180.0,0.0,0,mobile,canada,google,1.2
session_1132,user_1295,2025-03-21 10:24:51,2025-03-21 10:33:11,5,639.0,5.0,1,desktop,india,email,8.333333333333334
session_1133,user_1525,2025-04-07 14:31:07,2025-04-07 14:32:30,2,172.0,0.0,0,desktop,canada,direct,1.3833333333333333
session_1134,user_2880,2025-04-13 08:55:03,2025-04-13 09:01:03,5,405.0,3.0,1,mobile,france,google,6.0
session_1135,user_1764,2025-07-06 19:09:22,2025-07-06 19:11:28,2,227.0,3.0,0,tablet,canada,social media,2.1
session_1136,user_1701,2025-08-09 09:34:17,2025-08-09 09:35:02,2,168.0,3.0,0,mobile,australia,direct,0.75
session_1137,user_2415,2025-07-31 07:30:50,2025-07-31 07:35:43,5,420.0,5.0,1,mobile,france,email,4.883333333333334
session_1138,user_1009,2025-01-22 05:38:41,2025-01-22 05:40:48,2,253.0,0.0,0,tablet,canada,google,2.1166666666666667
session_1139,user_2774,2025-08-13 07:46:18,2025-08-13 07:50:39,3,355.0,5.0,0,mobile,germany,google,4.35
session_114,user_2803,2025-03-07 16:44:46,2025-03-07 16:45:08,2,101.0,0.0,0,mobile,germany,email,0.36666666666666664
session_1140,user_1657,2025-07-07 04:09:36,2025-07-07 04:09:36,1,88.0,0.0,0,mobile,uk,direct,0.0
session_1141,user_2636,2025-03-30 00:02:15,2025-03-30 00:10:05,5,615.0,1.0,1,tablet,usa,email,7.833333333333333
session_1142,user_1317,2025-03-20 03:47:31,2025-03-20 03:48:19,2,119.0,0.0,0,tablet,canada,email,0.8
session_1143,user_2588,2025-07-11 05:51:34,2025-07-11 05:56:00,4,409.0,3.0,0,desktop,germany,email,4.433333333333334
session_1144,user_2040,2025-01-23 21:38:36,2025-01-23 21:39:10,2,144.0,0.0,0,desktop,australia,email,0.5666666666666667
session_1145,user_1716,2025-06-18 17:36:06,2025-06-18 17:40:55,4,382.0,4.0,0,desktop,france,email,4.816666666666666
session_1146,user_1033,2025-06-13 17:18:34,2025-06-13 17:22:26,5,377.0,5.0,1,mobile,usa,social media,3.8666666666666667
session_1147,user_2850,2025-03-20 11:49:36,2025-03-20 11:56:47,5,478.0,1.0,1,desktop,australia,social media,7.183333333333334
session_1148,user_1098,2025-06-28 03:46:20,2025-06-28 03:46:53,2,128.0,0.0,0,desktop,australia,email,0.55
session_1149,user_1423,2025-07-12 02:59:48,2025-07-12 03:02:44,3,324.0,3.0,0,tablet,germany,social media,2.933333333333333
session_115,user_2619,2025-04-17 22:20:10,2025-04-17 22:21:16,2,146.0,4.0,0,tablet,uk,direct,1.1
session_1150,user_1625,2025-06-23 19:45:50,2025-06-23 19:45:50,1,132.0,0.0,0,tablet,india,email,0.0
session_1151,user_1025,2025-05-01 14:01:47,2025-05-01 14:07:28,5,506.0,5.0,1,mobile,france,direct,5.683333333333334
session_1152,user_2800,2025-02-28 04:57:04,2025-02-28 04:58:01,2,200.0,0.0,0,tablet,uk,social media,0.95
session_1153,user_1416,2025-01-29 06:47:08,2025-01-29 06:47:42,2,50.0,0.0,0,mobile,uk,social media,0.5666666666666667
session_1154,user_1131,2025-05-24 03:08:44,2025-05-24 03:11:11,2,307.0,0.0,0,desktop,germany,email,2.45
session_1155,user_1102,2025-02-11 15:47:51,2025-02-11 15:56:53,5,672.0,1.0,1,desktop,uk,social media,9.033333333333333
session_1156,user_1589,2025-03-12 06:36:53,2025-03-12 06:36:53,1,132.0,0.0,0,mobile,france,social media,0.0
session_1157,user_2147,2025-04-10 23:31:18,2025-04-10 23:32:57,2,171.0,0.0,0,mobile,france,direct,1.65
session_1158,user_2251,2025-02-26 14:06:58,2025-02-26 14:08:51,2,187.0,5.0,0,mobile,india,google,1.8833333333333333
session_1159,user_2007,2025-08-01 18:42:36,2025-08-01 18:44:26,2,160.0,1.0,0,mobile,canada,email,1.8333333333333333
session_116,user_1385,2025-08-09 08:34:48,2025-08-09 08:35:32,2,206.0,0.0,0,tablet,germany,email,0.7333333333333333
session_1160,user_2843,2025-01-25 00:26:25,2025-01-25 00:28:55,2,290.0,3.0,0,desktop,india,direct,2.5
session_1161,user_2917,2025-03-05 21:14:14,2025-03-05 21:20:02,5,426.0,3.0,1,mobile,france,google,5.8
session_1162,user_2698,2025-06-14 00:45:10,2025-06-14 00:45:30,2,105.0,0.0,0,mobile,india,social media,0.3333333333333333
session_1163,user_2427,2025-06-08 04:40:38,2025-06-08 04:40:38,1,67.0,0.0,0,tablet,germany,email,0.0
session_1164,user_1863,2025-03-01 09:09:45,2025-03-01 09:15:38,3,442.0,4.0,0,mobile,india,direct,5.883333333333334
session_1165,user_1342,2025-07-23 17:04:06,2025-07-23 17:06:57,2,265.0,5.0,0,desktop,usa,direct,2.85
session_1166,user_1607,2025-07-04 05:26:31,2025-07-04 05:28:35,3,237.0,4.0,0,tablet,india,google,2.066666666666667
session_1167,user_1671,2025-03-10 06:57:41,2025-03-10 06:59:45,2,188.0,0.0,0,desktop,uk,direct,2.066666666666667
session_1168,user_1606,2025-07-19 18:16:54,2025-07-19 18:22:05,4,466.0,2.0,0,tablet,uk,direct,5.183333333333334
session_1169,user_1203,2025-07-30 01:35:29,2025-07-30 01:41:34,5,397.0,1.0,1,tablet,france,email,6.083333333333333
session_117,user_1679,2025-05-04 20:49:01,2025-05-04 20:51:51,2,309.0,0.0,0,tablet,uk,social media,2.8333333333333335
session_1170,user_2340,2025-07-10 15:06:49,2025-07-10 15:06:49,1,172.0,0.0,0,tablet,germany,social media,0.0
session_1171,user_2899,2025-02-24 04:35:50,2025-02-24 04:37:14,2,261.0,0.0,0,tablet,australia,direct,1.4
session_1172,user_2887,2025-08-17 22:11:20,2025-08-17 22:15:19,5,417.0,3.0,1,desktop,australia,email,3.9833333333333334
session_1173,user_2145,2025-01-30 12:41:00,2025-01-30 12:43:22,2,209.0,2.0,0,desktop,uk,social media,2.3666666666666667
session_1174,user_2623,2025-05-17 10:02:30,2025-05-17 10:05:25,2,296.0,3.0,0,mobile,india,social media,2.9166666666666665
session_1175,user_2022,2025-08-08 22:03:57,2025-08-08 22:11:54,5,654.0,1.0,1,tablet,india,google,7.95
session_1176,user_2059,2025-01-01 01:20:08,2025-01-01 01:20:53,2,175.0,4.0,0,desktop,uk,social media,0.75
session_1177,user_1680,2025-04-13 14:24:21,2025-04-13 14:25:13,2,224.0,0.0,0,desktop,canada,google,0.8666666666666667
session_1178,user_1015,2025-05-10 03:28:14,2025-05-10 03:33:16,5,365.0,4.0,1,desktop,canada,google,5.033333333333333
session_1179,user_1090,2025-05-25 00:23:09,2025-05-25 00:23:09,1,111.0,0.0,0,mobile,uk,google,0.0
session_118,user_2114,2025-02-10 09:54:26,2025-02-10 09:57:17,2,210.0,0.0,0,mobile,usa,direct,2.85
session_1180,user_1678,2025-07-09 02:08:47,2025-07-09 02:10:18,2,262.0,0.0,0,mobile,australia,google,1.5166666666666666
session_1181,user_1622,2025-03-26 21:15:12,2025-03-26 21:25:04,5,727.0,4.0,1,tablet,canada,email,9.866666666666667
session_1182,user_2891,2025-04-25 02:18:17,2025-04-25 02:18:42,2,205.0,1.0,0,desktop,india,social media,0.4166666666666667
session_1183,user_1977,2025-02-05 03:27:09,2025-02-05 03:30:00,2,287.0,4.0,0,mobile,uk,social media,2.85
session_1184,user_1977,2025-08-13 13:55:25,2025-08-13 13:56:51,2,104.0,0.0,0,desktop,canada,social media,1.4333333333333333
session_1185,user_2265,2025-03-29 23:13:01,2025-03-29 23:16:40,4,376.0,5.0,0,mobile,germany,social media,3.65
session_1186,user_2708,2025-06-27 14:45:15,2025-06-27 14:46:11,2,94.0,0.0,0,mobile,australia,direct,0.9333333333333333
session_1187,user_2851,2025-01-05 04:42:32,2025-01-05 04:50:29,5,523.0,4.0,1,desktop,germany,email,7.95
session_1188,user_1202,2025-07-18 14:43:04,2025-07-18 14:45:23,2,276.0,4.0,0,desktop,germany,direct,2.316666666666667
session_1189,user_2442,2025-06-12 11:16:36,2025-06-12 11:17:23,2,225.0,5.0,0,mobile,canada,google,0.7833333333333333
session_119,user_2996,2025-08-06 05:01:41,2025-08-06 05:12:01,5,739.0,5.0,1,tablet,uk,social media,10.333333333333334
session_1190,user_1650,2025-01-10 18:47:01,2025-01-10 18:48:08,2,183.0,5.0,0,mobile,germany,direct,1.1166666666666667
session_1191,user_1740,2025-03-15 15:52:13,2025-03-15 15:54:57,2,213.0,3.0,0,tablet,australia,email,2.7333333333333334
session_1192,user_1538,2025-06-24 00:16:51,2025-06-24 00:20:51,3,317.0,5.0,0,desktop,india,google,4.0
